Road_ID,Length,Numberof_Bends,Trafficvolume,AccidentRisk
1,11.4,3,871,High
2,19.4,9,702,Medium
3,11.3,6,826,Low
4,14.9,12,298,Low
5,7.4,5,1685,High
6,7.1,11,1573,Medium
7,13.8,9,810,High
8,7.5,8,1285,Medium
9,19.4,3,334,High
10,6.5,8,1292,High
11,9.3,8,1954,High
12,7.5,4,1782,Medium
13,17.7,10,550,Medium
14,7.3,7,908,Medium
15,9.0,1,1115,High
16,7.1,11,544,Low
17,16.3,12,615,Low
18,13.9,9,1797,High
19,16.5,5,1779,High
20,19.4,6,763,Low
21,18.0,6,1967,High
22,6.9,7,769,Low
23,12.5,6,955,Low
24,5.0,2,1249,Low
25,3.1,9,1492,Medium
26,10.4,1,759,Medium
27,17.6,11,1150,Low
28,19.0,11,396,High
29,7.7,14,517,High
30,17.1,5,725,Medium
31,6.6,5,1192,High
32,15.9,11,930,High
33,14.8,7,1106,Low
34,4.6,9,1967,Medium
35,18.5,3,1418,High
36,8.0,2,386,Low
37,11.1,8,512,Low
38,16.5,3,250,Low
39,1.0,11,172,Medium
40,2.7,11,1759,Low
41,9.8,9,1728,High
42,6.2,10,1487,Medium
43,7.1,4,1009,Medium
44,5.0,6,850,Low
45,1.9,14,1991,High
46,3.1,4,354,Low
47,14.6,13,993,Medium
48,12.2,10,1003,Low
49,9.1,13,592,High
50,12.3,11,314,High
